idx,text,sec,prev_sec,prev_sent,next_sec,next_sent,label_anno1,comments_anno1,label_anno2,comments_anno2,label
3075790,"The architecture separates the domain of the conversation from the agent's dialogue strategy, and as such can be easily extended to multiple domains.",abstract,abstract,"The Modular Architecture for Conversational Agents (MACA) uses a plug-n-play style that allows quick prototyping, thereby facilitating the development of new techniques and the reproduction of previous work.",abstract,MACA provides tools to host dialogue agents on Amazon Mechanical Turk (mTurk) for data collection and allows processing of other sources of training data.,NC,,POS,,
3075791,MACA provides tools to host dialogue agents on Amazon Mechanical Turk (mTurk) for data collection and allows processing of other sources of training data.,abstract,abstract,"The architecture separates the domain of the conversation from the agent's dialogue strategy, and as such can be easily extended to multiple domains.",abstract,The current version of the framework already incorporates several domains and existing dialogue strategies from the recent literature.,FACT,,POS,,
3075792,The current version of the framework already incorporates several domains and existing dialogue strategies from the recent literature.,abstract,abstract,MACA provides tools to host dialogue agents on Amazon Mechanical Turk (mTurk) for data collection and allows processing of other sources of training data.,Introduction,Recent research in building sophisticated AIbased dialogue management systems has led to many new models supporting goal oriented or chit-chat style dialogue agents.,FACT,,POS,,
3075797,"To address this gap, we propose a new, readyto-use, cross-platform framework for text-based conversational agents -MACA 1 (Modularized Architecture for Conversational Agents)-that supports plug-n-play use of several existing dialogue agents, as well as facilitates easy prototyping of new dialogue agents.",Introduction,Introduction,"Furthermore, the different types of conversational agents-e.g., generative (Hochreiter and Schmidhuber, 1997;Serban et al., 2015Serban et al., , 2016)), retrieval-based (Schatzmann et al., 2005a;Lowe et al., 2015a), slot-based (Young, 2006) or POMDP agents (Png and Pineau, 2011)have different working mechanisms, which pose challenges to the development of a unified platform for conversational agents with multi-domain support. ",Introduction,The architecture simplifies the specification of different types of dialogue agents and plugs in an already-built dialogue agent.,FACT,,FACT#POS,,
3075798,The architecture simplifies the specification of different types of dialogue agents and plugs in an already-built dialogue agent.,Introduction,Introduction,"To address this gap, we propose a new, readyto-use, cross-platform framework for text-based conversational agents -MACA 1 (Modularized Architecture for Conversational Agents)-that supports plug-n-play use of several existing dialogue agents, as well as facilitates easy prototyping of new dialogue agents.",Introduction,"The framework also maintains a clear separation between domain knowledge and the dialogue agent, which improves agent and domain knowledge reusability.",NC,,POS,,
3075800,MACA separates task definition from task selection and thereby supports multi-task agents that can extend to multiple turns. ,Introduction,Introduction,"The framework also maintains a clear separation between domain knowledge and the dialogue agent, which improves agent and domain knowledge reusability.",Introduction,"The key characteristics of the MACA framework include: • strong separation between domain knowledge and a dialogue agent • a unified architecture to support goaloriented, POMDP, generative, and retrievalbased dialogue agents • easy plug-n-play of custom-built agents • multi-task support for domain specification • reusability of slots across different tasks • tool to collect data from mTurk with ease • template to construct dialogue agents within the framework • independence from dialogue agents' implementation libraries • open source code ready for public sharing",FACT,,POS,,
3075801,"The key characteristics of the MACA framework include: • strong separation between domain knowledge and a dialogue agent • a unified architecture to support goaloriented, POMDP, generative, and retrievalbased dialogue agents • easy plug-n-play of custom-built agents • multi-task support for domain specification • reusability of slots across different tasks • tool to collect data from mTurk with ease • template to construct dialogue agents within the framework • independence from dialogue agents' implementation libraries • open source code ready for public sharing",Introduction,Introduction,MACA separates task definition from task selection and thereby supports multi-task agents that can extend to multiple turns. ,Related Work,There are a few proposed frameworks in recent years that provide easy prototyping of dialogue agents. ,FACT,,POS,,
3075807,"This could include a database of previous collected conversations, a terminal interface (i.e. stdin) to acquire data in real-time, or a web interface to a data source (e.g. mTurk).",Input,Input,This component represents an abstract input device whose source of context varies depending on the use case.,Preprocessing,The Pre-processing module serves as a bridge between raw data acquired via the Input component and the input format required of components of the Dialogue model module.,NC,,POS,,
3075808,"Through the output component, the architecture provides a generic way to output the response to appropriate audience(s) depending on the use case.",Output,Postprocessing,"In addition, these post-processing operations within the Post-processing component can also query the Domain Knowledge component for relevant data required for the generation of text response.",Output,"Currently, implemented options are command line, file based, web based, and database.",NC,,POS,,
3075809,"Currently, implemented options are command line, file based, web based, and database.",Output,Output,"Through the output component, the architecture provides a generic way to output the response to appropriate audience(s) depending on the use case.",Output,"Similar to the Input component, the output component provides flexibility for the architect to change the destination of produced outputs and to separate the output programming logic from that of other components.",NC,,POS,,
