id,text,,doccano_art_id,sentence_id,current_sentence_section,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence,label,Comments
2143,In this paper we report on a research effort focusing on recognition of static features of sign formation in single sign videos.,0,0,0,abstract,,,abstract,"Three sequential models have been developed for handshape, palm orientation and location of sign formation respectively, which make use of key-points extracted via OpenPose software.",FACT,
2144,"Three sequential models have been developed for handshape, palm orientation and location of sign formation respectively, which make use of key-points extracted via OpenPose software.",1,0,1,abstract,abstract,In this paper we report on a research effort focusing on recognition of static features of sign formation in single sign videos.,abstract,"The models have been applied to a Danish and a Greek Sign Language dataset, providing results around 96%.",FACT,
2145,"The models have been applied to a Danish and a Greek Sign Language dataset, providing results around 96%.",2,0,2,abstract,abstract,"Three sequential models have been developed for handshape, palm orientation and location of sign formation respectively, which make use of key-points extracted via OpenPose software.",abstract,"Moreover, during the reported research, a method has been developed for identifying the time-frame of real signing in the video, which allows to ignore transition frames during sign recognition processing.",POS,
2146,"Moreover, during the reported research, a method has been developed for identifying the time-frame of real signing in the video, which allows to ignore transition frames during sign recognition processing.",3,0,3,abstract,abstract,"The models have been applied to a Danish and a Greek Sign Language dataset, providing results around 96%.",Introduction,"One of the problems relating to sign language recognition is the lack of appropriate datasets for algorithm training, since most datasets are recorded for academic purposes and as such, they concentrate in human learning rather than machine learning.",FACT,
2147,"One of the problems relating to sign language recognition is the lack of appropriate datasets for algorithm training, since most datasets are recorded for academic purposes and as such, they concentrate in human learning rather than machine learning.",4,0,4,Introduction,abstract,"Moreover, during the reported research, a method has been developed for identifying the time-frame of real signing in the video, which allows to ignore transition frames during sign recognition processing.",Introduction,"Therefore, most data collections contain a very large number of different glosses with very few repetitions of each.",NC,
2148,"Therefore, most data collections contain a very large number of different glosses with very few repetitions of each.",5,0,5,Introduction,Introduction,"One of the problems relating to sign language recognition is the lack of appropriate datasets for algorithm training, since most datasets are recorded for academic purposes and as such, they concentrate in human learning rather than machine learning.",Introduction,This characteristic makes it very unlikely for these datasets to be used as training sets for classification algorithms in sign recognition level.,NC,
2149,This characteristic makes it very unlikely for these datasets to be used as training sets for classification algorithms in sign recognition level.,6,0,6,Introduction,Introduction,"Therefore, most data collections contain a very large number of different glosses with very few repetitions of each.",Introduction,"Thus, we developed a system in the direction of ""phonological"" features recognition.",NC,
2150,"Thus, we developed a system in the direction of ""phonological"" features recognition.",7,0,7,Introduction,Introduction,This characteristic makes it very unlikely for these datasets to be used as training sets for classification algorithms in sign recognition level.,Introduction,"This way we can extract a dataset with a lot of examples for every handshape, palm orientation and hand location out of the video collections.",FACT,
2151,"This way we can extract a dataset with a lot of examples for every handshape, palm orientation and hand location out of the video collections.",8,0,8,Introduction,Introduction,"Thus, we developed a system in the direction of ""phonological"" features recognition.",Datasets,For the purposes of the project two collections of single gloss videos were used as datasets.,NC,
2152,"OpenPose is a software freely distributed by Carnegie Melon University, Perceptual Computing Lab (Cao et al., 2018).",9,0,22,Openpose,Datasets,This feature is making the whole process easier when trying to split the dictionary into handshape classes.,Openpose,It is used as a tool of human body keypoints extraction from a single image or video frame.,NC,
2153,It is used as a tool of human body keypoints extraction from a single image or video frame.,10,0,23,Openpose,Openpose,"OpenPose is a software freely distributed by Carnegie Melon University, Perceptual Computing Lab (Cao et al., 2018).",Openpose,"It offers an estimation of 25 body/foot keypoints, 2x21 hand keypoints and 70 face keypoints.",NC,
2154,"It offers an estimation of 25 body/foot keypoints, 2x21 hand keypoints and 70 face keypoints.",11,0,24,Openpose,Openpose,It is used as a tool of human body keypoints extraction from a single image or video frame.,Openpose,"In the case of a 2D video input, for each keypoint it returns a vector containing 3 elements.",NC,
2155,"In the case of a 2D video input, for each keypoint it returns a vector containing 3 elements.",12,0,25,Openpose,Openpose,"It offers an estimation of 25 body/foot keypoints, 2x21 hand keypoints and 70 face keypoints.",Openpose,"The first 2 correspond to the (x,y) coordinates with reference to the upper left corner of the image.",NC,
2156,"The first 2 correspond to the (x,y) coordinates with reference to the upper left corner of the image.",13,0,26,Openpose,Openpose,"In the case of a 2D video input, for each keypoint it returns a vector containing 3 elements.",Openpose,"The third is a value in the range [0,1] which is quantification of the confidence given by the program that the specific keypoint is correctly located in the frame.",NC,
2157,"The third is a value in the range [0,1] which is quantification of the confidence given by the program that the specific keypoint is correctly located in the frame.",14,0,27,Openpose,Openpose,"The first 2 correspond to the (x,y) coordinates with reference to the upper left corner of the image.",Openpose,The novelty behind OpenPose relies on the fact that it works for more than one person per image but more importantly the keypoint analysis is not affected when part of the individual's body is out of frame.,NC,
2158,The novelty behind OpenPose relies on the fact that it works for more than one person per image but more importantly the keypoint analysis is not affected when part of the individual's body is out of frame.,15,0,28,Openpose,Openpose,"The third is a value in the range [0,1] which is quantification of the confidence given by the program that the specific keypoint is correctly located in the frame.",Openpose,This last feature is crucial for applications on sign language videos where the signer appears above the waist level (Figure 1).,NC,
2159,This last feature is crucial for applications on sign language videos where the signer appears above the waist level (Figure 1).,16,0,29,Openpose,Openpose,The novelty behind OpenPose relies on the fact that it works for more than one person per image but more importantly the keypoint analysis is not affected when part of the individual's body is out of frame.,Our Method,The first step in our method is transforming each video frame into keypoints using the OpenPose software.,NC,
2160,Pivot translation is a useful method for translating between languages with little or no parallel data by utilizing parallel data in an intermediate language such as English.,17,1,0,abstract,,,abstract,"A popular approach for pivot translation used in phrase-based or tree-based translation models combines source-pivot and pivot-target translation models into a source-target model, as known as triangulation.",NC,
2161,"A popular approach for pivot translation used in phrase-based or tree-based translation models combines source-pivot and pivot-target translation models into a source-target model, as known as triangulation.",18,1,1,abstract,abstract,Pivot translation is a useful method for translating between languages with little or no parallel data by utilizing parallel data in an intermediate language such as English.,abstract,"However, this combination is based on the constituent words' surface forms and often produces incorrect source-target phrase pairs due to semantic ambiguity in the pivot language, and interlingual differences.",NC,
2162,"However, this combination is based on the constituent words' surface forms and often produces incorrect source-target phrase pairs due to semantic ambiguity in the pivot language, and interlingual differences.",19,1,2,abstract,abstract,"A popular approach for pivot translation used in phrase-based or tree-based translation models combines source-pivot and pivot-target translation models into a source-target model, as known as triangulation.",abstract,This degrades translation accuracy.,NC,
2163,This degrades translation accuracy.,20,1,3,abstract,abstract,"However, this combination is based on the constituent words' surface forms and often produces incorrect source-target phrase pairs due to semantic ambiguity in the pivot language, and interlingual differences.",abstract,"In this paper, we propose a approach for the triangulation using syntactic subtrees in the pivot language to distinguish pivot language words by their syntactic roles to avoid incorrect phrase combinations.",NC,
2164,"In this paper, we propose a approach for the triangulation using syntactic subtrees in the pivot language to distinguish pivot language words by their syntactic roles to avoid incorrect phrase combinations.",21,1,4,abstract,abstract,This degrades translation accuracy.,abstract,"Experimental results on the United Nations Parallel Corpus show the proposed method gains in all tested combinations of language, up to 2.3 BLEU points.",FACT,
2165,"Experimental results on the United Nations Parallel Corpus show the proposed method gains in all tested combinations of language, up to 2.3 BLEU points.",22,1,5,abstract,abstract,"In this paper, we propose a approach for the triangulation using syntactic subtrees in the pivot language to distinguish pivot language words by their syntactic roles to avoid incorrect phrase combinations.",abstract,1,POS,
2166,1,23,1,6,abstract,abstract,"Experimental results on the United Nations Parallel Corpus show the proposed method gains in all tested combinations of language, up to 2.3 BLEU points.",Introduction,"In statistical machine translation (SMT) (Brown et al., 1993), it is known that translation with models trained on larger parallel corpora can achieve greater accuracy (Dyer et al., 2008).",NC,
2167,"In statistical machine translation (SMT) (Brown et al., 1993), it is known that translation with models trained on larger parallel corpora can achieve greater accuracy (Dyer et al., 2008).",24,1,7,Introduction,abstract,1,Introduction,"Unfortunately, large bilingual corpora are not readily available for many language pairs, particularly those that do not include English.",NC,
2168,"Unfortunately, large bilingual corpora are not readily available for many language pairs, particularly those that do not include English.",25,1,8,Introduction,Introduction,"In statistical machine translation (SMT) (Brown et al., 1993), it is known that translation with models trained on larger parallel corpora can achieve greater accuracy (Dyer et al., 2008).",Introduction,"One effective solution to overcome the scarceness of bilingual data is to introduce a pivot language for which paral-1 Code to replicate the experiments can be found at https://github.com/akivajp/wmt2017 lel data with the source and target languages exists (de Gispert and Mariño, 2006).",NC,
2169,"One effective solution to overcome the scarceness of bilingual data is to introduce a pivot language for which paral-1 Code to replicate the experiments can be found at https://github.com/akivajp/wmt2017 lel data with the source and target languages exists (de Gispert and Mariño, 2006).",26,1,9,Introduction,Introduction,"Unfortunately, large bilingual corpora are not readily available for many language pairs, particularly those that do not include English.",Introduction,"Among various methods using pivot languages, one popular and effective method is the triangulation method (Utiyama and Isahara, 2007;Cohn and Lapata, 2007), which first combines sourcepivot and pivot-target translation models (TMs) into a source-target model, then translates using this combined model.",NC,
2170,"Among various methods using pivot languages, one popular and effective method is the triangulation method (Utiyama and Isahara, 2007;Cohn and Lapata, 2007), which first combines sourcepivot and pivot-target translation models (TMs) into a source-target model, then translates using this combined model.",27,1,10,Introduction,Introduction,"One effective solution to overcome the scarceness of bilingual data is to introduce a pivot language for which paral-1 Code to replicate the experiments can be found at https://github.com/akivajp/wmt2017 lel data with the source and target languages exists (de Gispert and Mariño, 2006).",Introduction,"The procedure of triangulating two TMs into one has been examined for different frameworks of SMT and its effectiveness has been confirmed both in Phrase-Based SMT (PBMT) (Koehn et al., 2003;Utiyama and Isahara, 2007) and in Hierarchical Phrase-Based SMT (Hiero) (Chiang, 2007;Miura et al., 2015).",NC,
2171,"The procedure of triangulating two TMs into one has been examined for different frameworks of SMT and its effectiveness has been confirmed both in Phrase-Based SMT (PBMT) (Koehn et al., 2003;Utiyama and Isahara, 2007) and in Hierarchical Phrase-Based SMT (Hiero) (Chiang, 2007;Miura et al., 2015).",28,1,11,Introduction,Introduction,"Among various methods using pivot languages, one popular and effective method is the triangulation method (Utiyama and Isahara, 2007;Cohn and Lapata, 2007), which first combines sourcepivot and pivot-target translation models (TMs) into a source-target model, then translates using this combined model.",Introduction,"However, word sense ambiguity and interlingual differences of word usage cause difficulty in accurately learning correspondences between source and target phrases, and thus the accuracy obtained by triangulated models lags behind that of models trained on direct parallel corpora.",NC,
2172,"However, word sense ambiguity and interlingual differences of word usage cause difficulty in accurately learning correspondences between source and target phrases, and thus the accuracy obtained by triangulated models lags behind that of models trained on direct parallel corpora.",29,1,12,Introduction,Introduction,"The procedure of triangulating two TMs into one has been examined for different frameworks of SMT and its effectiveness has been confirmed both in Phrase-Based SMT (PBMT) (Koehn et al., 2003;Utiyama and Isahara, 2007) and in Hierarchical Phrase-Based SMT (Hiero) (Chiang, 2007;Miura et al., 2015).",Introduction,"In the triangulation method, source-pivot and pivot-target phrase pairs are connected as a sourcetarget phrase pair when a common pivot-side phrase exists.",NC,
2173,"In the triangulation method, source-pivot and pivot-target phrase pairs are connected as a sourcetarget phrase pair when a common pivot-side phrase exists.",30,1,13,Introduction,Introduction,"However, word sense ambiguity and interlingual differences of word usage cause difficulty in accurately learning correspondences between source and target phrases, and thus the accuracy obtained by triangulated models lags behind that of models trained on direct parallel corpora.",Introduction,"In Figure 1 (a), we show an example of standard triangulation on Hiero TMs that combines hierarchical rules of phrase pairs by matching pivot phrases with equivalent surface forms.",NC,
2174,"In Figure 1 (a), we show an example of standard triangulation on Hiero TMs that combines hierarchical rules of phrase pairs by matching pivot phrases with equivalent surface forms.",31,1,14,Introduction,Introduction,"In the triangulation method, source-pivot and pivot-target phrase pairs are connected as a sourcetarget phrase pair when a common pivot-side phrase exists.",Introduction,"This example also demonstrates problems of ambiguity: the English word ""record"" can correspond to several different parts-of-speech according to the context.",NC,
2175,"This example also demonstrates problems of ambiguity: the English word ""record"" can correspond to several different parts-of-speech according to the context.",32,1,15,Introduction,Introduction,"In Figure 1 (a), we show an example of standard triangulation on Hiero TMs that combines hierarchical rules of phrase pairs by matching pivot phrases with equivalent surface forms.",Introduction,"More broadly, phrases including this word also have different possible grammatical structures, but it is impossible to uniquely identify this structure unless information about the surrounding context is given.",NC,
