id,text,doc_id,paper_title,paper_structure,year,prev_text,prev_section,next_text,next_section,label,Comments
9859,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 1/7
==========================================================================================
There has been a growing interest in interpreting the underlying dynamics of Transformers.",3170925,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,,,"While self-attention patterns were initially deemed as the primary option, recent studies have shown that integrating other components can yield more accurate explanations.",abstract,background-AIC,
9860,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 2/7
==========================================================================================
While self-attention patterns were initially deemed as the primary option, recent studies have shown that integrating other components can yield more accurate explanations.",3170926,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,There has been a growing interest in interpreting the underlying dynamics of Transformers.,abstract,This paper introduces a novel token attribution analysis method that incorporates all the components in the encoder block and aggregates this throughout layers.,abstract,background-AIC#rw,
9861,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 3/7
==========================================================================================
This paper introduces a novel token attribution analysis method that incorporates all the components in the encoder block and aggregates this throughout layers.",3170927,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,"While self-attention patterns were initially deemed as the primary option, recent studies have shown that integrating other components can yield more accurate explanations.",abstract,"Through extensive quantitative and qualitative experiments, we demonstrate that our method can produce faithful and meaningful global token attributions.",abstract,contribution,
9862,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 4/7
==========================================================================================
Through extensive quantitative and qualitative experiments, we demonstrate that our method can produce faithful and meaningful global token attributions.",3170928,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,This paper introduces a novel token attribution analysis method that incorporates all the components in the encoder block and aggregates this throughout layers.,abstract,Our experiments reveal that incorporating almost every encoder component results in increasingly more accurate analysis in both local (single layer) and global (the whole model) settings.,abstract,result,ou contribution ?
9863,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 5/7
==========================================================================================
Our experiments reveal that incorporating almost every encoder component results in increasingly more accurate analysis in both local (single layer) and global (the whole model) settings.",3170929,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,"Through extensive quantitative and qualitative experiments, we demonstrate that our method can produce faithful and meaningful global token attributions.",abstract,Our global attribution analysis significantly outperforms previous methods on various tasks regarding correlation with gradient-based saliency scores.,abstract,result,ou contribution ?
9864,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 6/7
==========================================================================================
Our global attribution analysis significantly outperforms previous methods on various tasks regarding correlation with gradient-based saliency scores.",3170930,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,Our experiments reveal that incorporating almost every encoder component results in increasingly more accurate analysis in both local (single layer) and global (the whole model) settings.,abstract,Our code is freely available at https://github.com/mohsenfayyaz/GlobEnc.,abstract,result,
9865,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
0. abstract -- 7/7
==========================================================================================
Our code is freely available at https://github.com/mohsenfayyaz/GlobEnc.",3170931,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,Our global attribution analysis significantly outperforms previous methods on various tasks regarding correlation with gradient-based saliency scores.,abstract,"The stellar performance of Transformers (Vaswani et al., 2017) has garnered a lot of attention to analyzing the reasons behind their effectiveness.",Introduction,contribution,
9866,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
1. Introduction -- 1/5
==========================================================================================
The stellar performance of Transformers (Vaswani et al., 2017) has garnered a lot of attention to analyzing the reasons behind their effectiveness.",3170932,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,Our code is freely available at https://github.com/mohsenfayyaz/GlobEnc.,abstract,"The self-attention mechanism has been one of the main areas of focus (Clark et al., 2019;Kovaleva et al., 2019;Reif et al., 2019;Htut et al., 2019).",Introduction,background-AIC#rw,
9867,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
1. Introduction -- 2/5
==========================================================================================
The self-attention mechanism has been one of the main areas of focus (Clark et al., 2019;Kovaleva et al., 2019;Reif et al., 2019;Htut et al., 2019).",3170933,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,"The stellar performance of Transformers (Vaswani et al., 2017) has garnered a lot of attention to analyzing the reasons behind their effectiveness.",Introduction,"However, there have been debates on whether raw attention weights are reliable anchors for explaining model's behavior or not (Wiegreffe and Pinter, 2019;Serrano and Smith, 2019;Jain and Wallace, 2019).",Introduction,background-AIC#rw,
9868,"{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers
==========================================================================================
1. Introduction -- 3/5
==========================================================================================
However, there have been debates on whether raw attention weights are reliable anchors for explaining model's behavior or not (Wiegreffe and Pinter, 2019;Serrano and Smith, 2019;Jain and Wallace, 2019).",3170934,{G}lob{E}nc: Quantifying Global Token Attribution by Incorporating the Whole Encoder Layer in Transformers,"0. abstract
1. Introduction
2. 2021
3. Background
4. Methodology
5. Experiments
6. Related Work
7. Conclusions
",2022,"The self-attention mechanism has been one of the main areas of focus (Clark et al., 2019;Kovaleva et al., 2019;Reif et al., 2019;Htut et al., 2019).",Introduction,"Recently, it was shown that incorporating vector norms should be an indispensable part of any attention-based analysis 1 (Kobayashi et al., 2020,   ⋆ Equal contribution.",Introduction,background-AIC#rw,
