id,text,doc_id,paper_title,paper_structure,year,prev_text,prev_section,next_text,next_section,label,Comments
46425,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
0. abstract -- 1/6
==========================================================================================
Question Answering (QA) is in increasing demand as the amount of information available online and the desire for quick access to this content grows.",457835,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,,,A common approach to QA has been to fine-tune a pretrained language model on a task-specific labeled dataset.,abstract,context-AIC,
46426,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
0. abstract -- 2/6
==========================================================================================
A common approach to QA has been to fine-tune a pretrained language model on a task-specific labeled dataset.",457836,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,Question Answering (QA) is in increasing demand as the amount of information available online and the desire for quick access to this content grows.,abstract,"This paradigm, however, relies on scarce, and costly to obtain, large-scale human-labeled data.",abstract,context-AIC,
46427,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
0. abstract -- 3/6
==========================================================================================
This paradigm, however, relies on scarce, and costly to obtain, large-scale human-labeled data.",457837,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,A common approach to QA has been to fine-tune a pretrained language model on a task-specific labeled dataset.,abstract,We propose an unsupervised approach to training QA models with generated pseudotraining data.,abstract,context-AIC,
46428,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
0. abstract -- 4/6
==========================================================================================
We propose an unsupervised approach to training QA models with generated pseudotraining data.",457838,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"This paradigm, however, relies on scarce, and costly to obtain, large-scale human-labeled data.",abstract,"We show that generating questions for QA training by applying a simple template on a related, retrieved sentence rather than the original context sentence improves downstream QA performance by allowing the model to learn more complex context-question relationships.",abstract,contribution-AIC,
46429,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
0. abstract -- 5/6
==========================================================================================
We show that generating questions for QA training by applying a simple template on a related, retrieved sentence rather than the original context sentence improves downstream QA performance by allowing the model to learn more complex context-question relationships.",457839,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,We propose an unsupervised approach to training QA models with generated pseudotraining data.,abstract,"Training a QA model on this data gives a relative improvement over a previous unsupervised model in F1 score on the SQuAD dataset by about 14%, and 20% when the answer is a named entity, achieving stateof-the-art performance on SQuAD for unsupervised QA.",abstract,result,
46430,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
0. abstract -- 6/6
==========================================================================================
Training a QA model on this data gives a relative improvement over a previous unsupervised model in F1 score on the SQuAD dataset by about 14%, and 20% when the answer is a named entity, achieving stateof-the-art performance on SQuAD for unsupervised QA.",457840,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"We show that generating questions for QA training by applying a simple template on a related, retrieved sentence rather than the original context sentence improves downstream QA performance by allowing the model to learn more complex context-question relationships.",abstract,Question Answering aims to answer a question based on a given knowledge source.,Introduction,result,
46431,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 1/40
==========================================================================================
Question Answering aims to answer a question based on a given knowledge source.",457841,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Training a QA model on this data gives a relative improvement over a previous unsupervised model in F1 score on the SQuAD dataset by about 14%, and 20% when the answer is a named entity, achieving stateof-the-art performance on SQuAD for unsupervised QA.",abstract,"Recent advances have driven the performance of QA systems to above or near-human performance on QA datasets such as SQuAD (Rajpurkar et al., 2016) and Natural Questions (Kwiatkowski et al., 2019) thanks to pretrained language models such as BERT (Devlin et al., 2019), XLNet (Yang et al., 2019) and RoBERTa (Liu et al., 2019).",Introduction,context-AIC,
46432,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 2/40
==========================================================================================
Recent advances have driven the performance of QA systems to above or near-human performance on QA datasets such as SQuAD (Rajpurkar et al., 2016) and Natural Questions (Kwiatkowski et al., 2019) thanks to pretrained language models such as BERT (Devlin et al., 2019), XLNet (Yang et al., 2019) and RoBERTa (Liu et al., 2019).",457842,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,Question Answering aims to answer a question based on a given knowledge source.,Introduction,"Fine-tuning these language models, however, requires largescale data for fine-tuning.",Introduction,context-AIC#rw,
46433,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 3/40
==========================================================================================
Fine-tuning these language models, however, requires largescale data for fine-tuning.",457843,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Recent advances have driven the performance of QA systems to above or near-human performance on QA datasets such as SQuAD (Rajpurkar et al., 2016) and Natural Questions (Kwiatkowski et al., 2019) thanks to pretrained language models such as BERT (Devlin et al., 2019), XLNet (Yang et al., 2019) and RoBERTa (Liu et al., 2019).",Introduction,Creating a dataset for every new domain is extremely costly and practically infeasible.,Introduction,context-AIC,
46434,"Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering
==========================================================================================
1. Introduction -- 4/40
==========================================================================================
Creating a dataset for every new domain is extremely costly and practically infeasible.",457844,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering,"0. abstract
1. Introduction
2. Experiments
3. Conclusion
",2020,"Fine-tuning these language models, however, requires largescale data for fine-tuning.",Introduction,The ability to apply QA models on outof-domain data in an efficient manner is thus very 1 Equal contribution 2 Work done during internship at the AWS AI Labs desirable.,Introduction,context-AIC,
