id,text,doccano_art_id,sentence_id,current_sentence_section,previous_sentence_section,previous_sentence,next_sentence_section,next_sentence,label,Comments
3130,In this paper we report on a research effort focusing on recognition of static features of sign formation in single sign videos.,0,0,abstract,,,abstract,"Three sequential models have been developed for handshape, palm orientation and location of sign formation respectively, which make use of key-points extracted via OpenPose software.",FACT,
3131,"Three sequential models have been developed for handshape, palm orientation and location of sign formation respectively, which make use of key-points extracted via OpenPose software.",0,1,abstract,abstract,In this paper we report on a research effort focusing on recognition of static features of sign formation in single sign videos.,abstract,"The models have been applied to a Danish and a Greek Sign Language dataset, providing results around 96%.",FACT,
3132,"The models have been applied to a Danish and a Greek Sign Language dataset, providing results around 96%.",0,2,abstract,abstract,"Three sequential models have been developed for handshape, palm orientation and location of sign formation respectively, which make use of key-points extracted via OpenPose software.",abstract,"Moreover, during the reported research, a method has been developed for identifying the time-frame of real signing in the video, which allows to ignore transition frames during sign recognition processing.",POS,
3133,"Moreover, during the reported research, a method has been developed for identifying the time-frame of real signing in the video, which allows to ignore transition frames during sign recognition processing.",0,3,abstract,abstract,"The models have been applied to a Danish and a Greek Sign Language dataset, providing results around 96%.",Introduction,"One of the problems relating to sign language recognition is the lack of appropriate datasets for algorithm training, since most datasets are recorded for academic purposes and as such, they concentrate in human learning rather than machine learning.",POS,
3134,"One of the problems relating to sign language recognition is the lack of appropriate datasets for algorithm training, since most datasets are recorded for academic purposes and as such, they concentrate in human learning rather than machine learning.",0,4,Introduction,abstract,"Moreover, during the reported research, a method has been developed for identifying the time-frame of real signing in the video, which allows to ignore transition frames during sign recognition processing.",Introduction,"Therefore, most data collections contain a very large number of different glosses with very few repetitions of each.",NC,
3135,"Therefore, most data collections contain a very large number of different glosses with very few repetitions of each.",0,5,Introduction,Introduction,"One of the problems relating to sign language recognition is the lack of appropriate datasets for algorithm training, since most datasets are recorded for academic purposes and as such, they concentrate in human learning rather than machine learning.",Introduction,This characteristic makes it very unlikely for these datasets to be used as training sets for classification algorithms in sign recognition level.,NC,
3136,This characteristic makes it very unlikely for these datasets to be used as training sets for classification algorithms in sign recognition level.,0,6,Introduction,Introduction,"Therefore, most data collections contain a very large number of different glosses with very few repetitions of each.",Introduction,"Thus, we developed a system in the direction of ""phonological"" features recognition.",NC,
3137,"Thus, we developed a system in the direction of ""phonological"" features recognition.",0,7,Introduction,Introduction,This characteristic makes it very unlikely for these datasets to be used as training sets for classification algorithms in sign recognition level.,Introduction,"This way we can extract a dataset with a lot of examples for every handshape, palm orientation and hand location out of the video collections.",FACT,
3138,"This way we can extract a dataset with a lot of examples for every handshape, palm orientation and hand location out of the video collections.",0,8,Introduction,Introduction,"Thus, we developed a system in the direction of ""phonological"" features recognition.",Datasets,For the purposes of the project two collections of single gloss videos were used as datasets.,POS,
3139,"OpenPose is a software freely distributed by Carnegie Melon University, Perceptual Computing Lab (Cao et al., 2018).",0,22,Openpose,Datasets,This feature is making the whole process easier when trying to split the dictionary into handshape classes.,Openpose,It is used as a tool of human body keypoints extraction from a single image or video frame.,NC,
3140,It is used as a tool of human body keypoints extraction from a single image or video frame.,0,23,Openpose,Openpose,"OpenPose is a software freely distributed by Carnegie Melon University, Perceptual Computing Lab (Cao et al., 2018).",Openpose,"It offers an estimation of 25 body/foot keypoints, 2x21 hand keypoints and 70 face keypoints.",NC,
3141,"It offers an estimation of 25 body/foot keypoints, 2x21 hand keypoints and 70 face keypoints.",0,24,Openpose,Openpose,It is used as a tool of human body keypoints extraction from a single image or video frame.,Openpose,"In the case of a 2D video input, for each keypoint it returns a vector containing 3 elements.",NC,
