idx,sent,sec,prev_sec,prev_sent,next_sec,next_sent,label
3075788,We propose a software architecture designed to ease the implementation of dialogue systems.,abstract,,,abstract,"The Modular Architecture for Conversational Agents (MACA) uses a plug-n-play style that allows quick prototyping, thereby facilitating the development of new techniques and the reproduction of previous work.",
3075789,"The Modular Architecture for Conversational Agents (MACA) uses a plug-n-play style that allows quick prototyping, thereby facilitating the development of new techniques and the reproduction of previous work.",abstract,abstract,We propose a software architecture designed to ease the implementation of dialogue systems.,abstract,"The architecture separates the domain of the conversation from the agent's dialogue strategy, and as such can be easily extended to multiple domains.",
3075790,"The architecture separates the domain of the conversation from the agent's dialogue strategy, and as such can be easily extended to multiple domains.",abstract,abstract,"The Modular Architecture for Conversational Agents (MACA) uses a plug-n-play style that allows quick prototyping, thereby facilitating the development of new techniques and the reproduction of previous work.",abstract,MACA provides tools to host dialogue agents on Amazon Mechanical Turk (mTurk) for data collection and allows processing of other sources of training data.,
3075791,MACA provides tools to host dialogue agents on Amazon Mechanical Turk (mTurk) for data collection and allows processing of other sources of training data.,abstract,abstract,"The architecture separates the domain of the conversation from the agent's dialogue strategy, and as such can be easily extended to multiple domains.",abstract,The current version of the framework already incorporates several domains and existing dialogue strategies from the recent literature.,
3075792,The current version of the framework already incorporates several domains and existing dialogue strategies from the recent literature.,abstract,abstract,MACA provides tools to host dialogue agents on Amazon Mechanical Turk (mTurk) for data collection and allows processing of other sources of training data.,Introduction,Recent research in building sophisticated AIbased dialogue management systems has led to many new models supporting goal oriented or chit-chat style dialogue agents.,
3075793,Recent research in building sophisticated AIbased dialogue management systems has led to many new models supporting goal oriented or chit-chat style dialogue agents.,Introduction,abstract,The current version of the framework already incorporates several domains and existing dialogue strategies from the recent literature.,Introduction,"These models have been applied to a variety of consumer domains, such as restaurant booking (Kim and Banchs, 2014), flight booking (Young, 2006), etc.",
3075794,"These models have been applied to a variety of consumer domains, such as restaurant booking (Kim and Banchs, 2014), flight booking (Young, 2006), etc.",Introduction,Introduction,Recent research in building sophisticated AIbased dialogue management systems has led to many new models supporting goal oriented or chit-chat style dialogue agents.,Introduction,"However, the lack of tools for easy prototyping of newer models remains an impediment to developing new models and properly benchmarking against previous models.",
3075795,"However, the lack of tools for easy prototyping of newer models remains an impediment to developing new models and properly benchmarking against previous models.",Introduction,Introduction,"These models have been applied to a variety of consumer domains, such as restaurant booking (Kim and Banchs, 2014), flight booking (Young, 2006), etc.",Introduction,"Furthermore, the different types of conversational agents-e.g., generative (Hochreiter and Schmidhuber, 1997;Serban et al., 2015Serban et al., , 2016)), retrieval-based (Schatzmann et al., 2005a;Lowe et al., 2015a), slot-based (Young, 2006) or POMDP agents (Png and Pineau, 2011)have different working mechanisms, which pose challenges to the development of a unified platform for conversational agents with multi-domain support. ",
3075796,"Furthermore, the different types of conversational agents-e.g., generative (Hochreiter and Schmidhuber, 1997;Serban et al., 2015Serban et al., , 2016)), retrieval-based (Schatzmann et al., 2005a;Lowe et al., 2015a), slot-based (Young, 2006) or POMDP agents (Png and Pineau, 2011)have different working mechanisms, which pose challenges to the development of a unified platform for conversational agents with multi-domain support. ",Introduction,Introduction,"However, the lack of tools for easy prototyping of newer models remains an impediment to developing new models and properly benchmarking against previous models.",Introduction,"To address this gap, we propose a new, readyto-use, cross-platform framework for text-based conversational agents -MACA 1 (Modularized Architecture for Conversational Agents)-that supports plug-n-play use of several existing dialogue agents, as well as facilitates easy prototyping of new dialogue agents.",
3075797,"To address this gap, we propose a new, readyto-use, cross-platform framework for text-based conversational agents -MACA 1 (Modularized Architecture for Conversational Agents)-that supports plug-n-play use of several existing dialogue agents, as well as facilitates easy prototyping of new dialogue agents.",Introduction,Introduction,"Furthermore, the different types of conversational agents-e.g., generative (Hochreiter and Schmidhuber, 1997;Serban et al., 2015Serban et al., , 2016)), retrieval-based (Schatzmann et al., 2005a;Lowe et al., 2015a), slot-based (Young, 2006) or POMDP agents (Png and Pineau, 2011)have different working mechanisms, which pose challenges to the development of a unified platform for conversational agents with multi-domain support. ",Introduction,The architecture simplifies the specification of different types of dialogue agents and plugs in an already-built dialogue agent.,
