text,doc_id,paper_title,year,section,prev_text,prev_section,next_text,next_section,label
This paper focuses on domain specific use of MT with a special focus on SMT in the workflow of a Language Service Provider (LSP).,1763760,Domain specific {MT} in use,2008,abstract,,,"We report on the feedback of post-editors using fluency/adequacy evaluation and the evaluation metric 'Usability', understood in this context as where users on a three point scale evaluate the sentence from the point of view of the post-editor.",abstract,
"We report on the feedback of post-editors using fluency/adequacy evaluation and the evaluation metric 'Usability', understood in this context as where users on a three point scale evaluate the sentence from the point of view of the post-editor.",1763761,Domain specific {MT} in use,2008,abstract,This paper focuses on domain specific use of MT with a special focus on SMT in the workflow of a Language Service Provider (LSP).,abstract,The post-editor profile defined by the LSP is based on the experiences of introducing MT in the LSP workflow.,abstract,
The post-editor profile defined by the LSP is based on the experiences of introducing MT in the LSP workflow.,1763762,Domain specific {MT} in use,2008,abstract,"We report on the feedback of post-editors using fluency/adequacy evaluation and the evaluation metric 'Usability', understood in this context as where users on a three point scale evaluate the sentence from the point of view of the post-editor.",abstract,The relation between the Translation Edit Rate (TER) scores and 'Usability' scores is tested.,abstract,
The relation between the Translation Edit Rate (TER) scores and 'Usability' scores is tested.,1763763,Domain specific {MT} in use,2008,abstract,The post-editor profile defined by the LSP is based on the experiences of introducing MT in the LSP workflow.,abstract,We find TER a candidate for an automatic metric simulating the post-editors' usability judgements.,abstract,
We find TER a candidate for an automatic metric simulating the post-editors' usability judgements.,1763764,Domain specific {MT} in use,2008,abstract,The relation between the Translation Edit Rate (TER) scores and 'Usability' scores is tested.,abstract,LSP tests show 67% saved time in post-editing for the tested domain.,abstract,
LSP tests show 67% saved time in post-editing for the tested domain.,1763765,Domain specific {MT} in use,2008,abstract,We find TER a candidate for an automatic metric simulating the post-editors' usability judgements.,abstract,"Finally, the use of weighted sub-domain phrase tables in a SMT system is shown to improve translation quality.",abstract,
"Finally, the use of weighted sub-domain phrase tables in a SMT system is shown to improve translation quality.",1763766,Domain specific {MT} in use,2008,abstract,LSP tests show 67% saved time in post-editing for the tested domain.,abstract,"As part of a general strategy to strengthen cooperation between the research community and small and medium-sized enterprises, the Danish Council for Strategic Research has decided to co-finance two projects involving machine translation.",Introduction,
"As part of a general strategy to strengthen cooperation between the research community and small and medium-sized enterprises, the Danish Council for Strategic Research has decided to co-finance two projects involving machine translation.",1763767,Domain specific {MT} in use,2008,Introduction,"Finally, the use of weighted sub-domain phrase tables in a SMT system is shown to improve translation quality.",abstract,The aim of both projects has been to explore the possibilities of using statistical machine translation (SMT) approaches in small and medium sized companies (SMEs).,Introduction,
The aim of both projects has been to explore the possibilities of using statistical machine translation (SMT) approaches in small and medium sized companies (SMEs).,1763768,Domain specific {MT} in use,2008,Introduction,"As part of a general strategy to strengthen cooperation between the research community and small and medium-sized enterprises, the Danish Council for Strategic Research has decided to co-finance two projects involving machine translation.",Introduction,"The project goals were to find out not only whether it would possible for translation companies to integrate SMT systems in their daily translation flow, but also to assess whether it would be financially beneficial.",Introduction,
"The project goals were to find out not only whether it would possible for translation companies to integrate SMT systems in their daily translation flow, but also to assess whether it would be financially beneficial.",1763769,Domain specific {MT} in use,2008,Introduction,The aim of both projects has been to explore the possibilities of using statistical machine translation (SMT) approaches in small and medium sized companies (SMEs).,Introduction,The primary tasks of the involved translation companies have been to provide bilingual corpora consisting of sentence aligned documents and then subsequently to test and evaluate the translation results as a first step to uncover the commercial potential of using SMT in their translation process. ,Introduction,
