text,doc_id,paper_title,paper_structure,year,prev_text,prev_section,next_text,next_section,label
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 1/11
==========================================================================================
  Can we develop a model that can synthesize realistic speech directly from a latent space, without explicit conditioning?",5706655,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,,,"Despite several efforts over the last decade, previous adversarial and diffusion-based approaches still struggle to achieve this, even on small-vocabulary datasets.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 2/11
==========================================================================================
Despite several efforts over the last decade, previous adversarial and diffusion-based approaches still struggle to achieve this, even on small-vocabulary datasets.",5706656,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"  Can we develop a model that can synthesize realistic speech directly from a latent space, without explicit conditioning?",abstract,"To address this, we propose AudioStyleGAN (ASGAN) -- a generative adversarial network for unconditional speech synthesis tailored to learn a disentangled latent space.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 3/11
==========================================================================================
To address this, we propose AudioStyleGAN (ASGAN) -- a generative adversarial network for unconditional speech synthesis tailored to learn a disentangled latent space.",5706657,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"Despite several efforts over the last decade, previous adversarial and diffusion-based approaches still struggle to achieve this, even on small-vocabulary datasets.",abstract,"Building upon the StyleGAN family of image synthesis models, ASGAN maps sampled noise to a disentangled latent vector which is then mapped to a sequence of audio features so that signal aliasing is suppressed at every layer.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 4/11
==========================================================================================
Building upon the StyleGAN family of image synthesis models, ASGAN maps sampled noise to a disentangled latent vector which is then mapped to a sequence of audio features so that signal aliasing is suppressed at every layer.",5706658,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"To address this, we propose AudioStyleGAN (ASGAN) -- a generative adversarial network for unconditional speech synthesis tailored to learn a disentangled latent space.",abstract,"To successfully train ASGAN, we introduce a number of new techniques, including a modification to adaptive discriminator augmentation which probabilistically skips discriminator updates.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 5/11
==========================================================================================
To successfully train ASGAN, we introduce a number of new techniques, including a modification to adaptive discriminator augmentation which probabilistically skips discriminator updates.",5706659,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"Building upon the StyleGAN family of image synthesis models, ASGAN maps sampled noise to a disentangled latent vector which is then mapped to a sequence of audio features so that signal aliasing is suppressed at every layer.",abstract,"We apply it on the small-vocabulary Google Speech Commands digits dataset, where it achieves state-of-the-art results in unconditional speech synthesis.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 6/11
==========================================================================================
We apply it on the small-vocabulary Google Speech Commands digits dataset, where it achieves state-of-the-art results in unconditional speech synthesis.",5706660,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"To successfully train ASGAN, we introduce a number of new techniques, including a modification to adaptive discriminator augmentation which probabilistically skips discriminator updates.",abstract,It is also substantially faster than existing top-performing diffusion models.,abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 7/11
==========================================================================================
It is also substantially faster than existing top-performing diffusion models.",5706661,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"We apply it on the small-vocabulary Google Speech Commands digits dataset, where it achieves state-of-the-art results in unconditional speech synthesis.",abstract,We confirm that ASGAN's latent space is disentangled: we demonstrate how simple linear operations in the space can be used to perform several tasks unseen during training.,abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 8/11
==========================================================================================
We confirm that ASGAN's latent space is disentangled: we demonstrate how simple linear operations in the space can be used to perform several tasks unseen during training.",5706662,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,It is also substantially faster than existing top-performing diffusion models.,abstract,"Specifically, we perform evaluations in voice conversion, speech enhancement, speaker verification, and keyword classification.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 9/11
==========================================================================================
Specifically, we perform evaluations in voice conversion, speech enhancement, speaker verification, and keyword classification.",5706663,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,We confirm that ASGAN's latent space is disentangled: we demonstrate how simple linear operations in the space can be used to perform several tasks unseen during training.,abstract,"Our work indicates that GANs are still highly competitive in the unconditional speech synthesis landscape, and that disentangled latent spaces can be used to aid generalization to unseen tasks.",abstract,
"Disentanglement in a GAN for Unconditional Speech Synthesis
==========================================================================================
0. abstract -- 10/11
==========================================================================================
Our work indicates that GANs are still highly competitive in the unconditional speech synthesis landscape, and that disentangled latent spaces can be used to aid generalization to unseen tasks.",5706664,Disentanglement in a GAN for Unconditional Speech Synthesis,"0. abstract
1. I. INTRODUCTION
2. II. RELATED WORK
3. III. AUDIO STYLE GAN
4. A. Generator
5. B. Discriminator
6. C. Vocoder
7. D. Implementation
8. A. Data
9. B. Evaluation metrics
10. C. Baseline systems
11. A. Comparison to baselines
12. B. Ablation experiments
13. VI. SOLVING UNSEEN TASKS THROUGH LINEAR LATENT OPERATIONS
14. A. Projecting to the latent space
15. B. Downstream tasks
16. VII. EXPERIMENTAL SETUP: UNSEEN TASKS A. Evaluation metrics
17. B. Baseline systems
18. VIII. RESULTS: UNSEEN TASKS
19. A. Voice conversion
20. B. Speech enhancement
21. C. Speaker verification
22. D. Keyword classification
23. IX. CONCLUSION
",2023,"Specifically, we perform evaluations in voice conversion, speech enhancement, speaker verification, and keyword classification.",abstract,"Code, models, samples: https://github.com/RF5/simple-asgan/ ",abstract,
