,context-AIC,contribution-AIC,result,impact,directions,limitation,outline-AIC,nc,micro_avg,macro_avg,weighted_avg,samples_avg
lr+cv+text,0.47692307692307695,0.4105263157894737,0.5735735735735735,0.21052631578947367,0.29850746268656714,0.047058823529411764,0.5588235294117647,0.6214511041009464,0.5361875637104995,0.39967377522553593,0.5272654373112287,0.4883198562443845
lr+cv+prefix_text,0.6873508353221957,0.4943820224719101,0.637593984962406,0.11764705882352941,0.4864864864864865,0.12048192771084337,0.7213114754098361,0.7703125,0.6653130287648055,0.5044457863984009,0.6545271990424179,0.623854447439353
lr+cv+prefix_SEP,0.6218487394957983,0.394919168591224,0.582441113490364,0.08,0.2144638403990025,0.17412935323383086,0.31313131313131315,0.6735074626865671,0.463592739411642,0.3818051238785125,0.5644312126882257,0.487360415864459
lr+tf+text,0.49076517150395776,0.4053333333333333,0.581039755351682,0.2222222222222222,0.3076923076923077,0.05405405405405406,0.5333333333333333,0.6350931677018633,0.5478887744593203,0.40369166814909424,0.535938095088489,0.4963387241689128
lr+tf+prefix_text,0.6770833333333334,0.4879518072289157,0.6257861635220126,0.2222222222222222,0.3939393939393939,0.08333333333333333,0.6545454545454545,0.7597851112816577,0.6566643405443127,0.48808085242579047,0.6404666296672259,0.6050089847259658
lr+tf+prefix_SEP,0.6701570680628273,0.48,0.6305732484076433,0.2222222222222222,0.34375,0.08695652173913043,0.6551724137931034,0.7560606060606061,0.6550279329608939,0.4806115100356916,0.6365868763067186,0.6028751123090744
svm+cv+text,0.46153846153846156,0.37966101694915255,0.5909090909090909,0.0,0.23728813559322035,0.08955223880597014,0.4489795918367347,0.7009345794392523,0.578177727784027,0.36360788938398536,0.5529710166755767,0.5007861635220127
svm+cv+prefix_text,0.6455026455026455,0.48484848484848486,0.625,0.0,0.36923076923076925,0.14925373134328357,0.4583333333333333,0.8065015479876161,0.6736842105263158,0.44233381403076655,0.6496819555062152,0.6026504941599281
svm+cv+prefix_SEP,0.6700251889168766,0.4897959183673469,0.5436507936507936,0.0,0.36923076923076925,0.14925373134328357,0.4583333333333333,0.8005409060175794,0.670383275261324,0.43510383010749787,0.6333607914922034,0.6243261455525606
svm+tf+text,0.48214285714285715,0.3806228373702422,0.606473594548552,0.125,0.2903225806451613,0.08955223880597014,0.5925925925925926,0.6966640806826998,0.5866666666666667,0.4079213477235094,0.563916541828553,0.5169586702605571
svm+tf+prefix_text,0.6236559139784946,0.46048109965635736,0.6380789022298456,0.2222222222222222,0.34375,0.12121212121212122,0.6415094339622641,0.8003120124804992,0.6713081714913888,0.48140271321772554,0.6484849609994903,0.5992812219227314
svm+tf+prefix_SEP,0.6327077747989276,0.45517241379310347,0.6333907056798623,0.2222222222222222,0.34375,0.12307692307692308,0.6296296296296297,0.7978142076502732,0.6698459280997799,0.47972048460636774,0.646843252236626,0.5983827493261455
